case,config,y_CH4_biogas,h_H2_to_CFR,dTmin_K,CO2_carbon_fixed_fraction,C_total_tpd,Q_H_min_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,boundary,power_source,aux_power_kW,H2_for_aux_tpd,H2_net_final_tpd,self_sufficient,bottoming_heat_source_650K_kW,bottoming_power_eta0.20_kW,aux_residual_eta0.20_kW,H2_net_final_with_bottoming_eta0.20_tpd,bottoming_power_eta0.25_kW,aux_residual_eta0.25_kW,H2_net_final_with_bottoming_eta0.25_tpd
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,30.0,0.98778901424521,59.59855245486989,5339.418304555819,4.079078578256059,4.524611231881212,-0.44553265362515315,excl. upgrading (submitted boundary),H2 engine 0.40,1115.6054154207584,2.0088933050793965,-2.4544259587045496,False,4284.603583076706,856.9207166153412,258.68469880541716,-0.9113514389890496,1071.1508957691765,44.454519651581904,-0.5255828090601746
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,30.0,0.98778901424521,59.59855245486989,5339.418304555819,4.079078578256059,4.524611231881212,-0.44553265362515315,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,2279.872281551366,3.2843298173609115,-3.7298624709860646,False,4284.603583076706,856.9207166153412,1422.9515649360249,-2.4954028552136647,1071.1508957691765,1208.7213857821896,-2.1867879512705644
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,30.0,0.98778901424521,59.59855245486989,5339.418304555819,4.079078578256059,4.524611231881212,-0.44553265362515315,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,2279.872281551366,4.105412271701138,-4.5509449253262915,False,4284.603583076706,856.9207166153412,1422.9515649360249,-3.007870405610792,1071.1508957691765,1208.7213857821896,-2.6221017756819167
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,20.0,0.9533185628548845,54.38055927219059,3873.074322362547,5.866818815716237,3.2820345927795045,2.5847842229367326,excl. upgrading (submitted boundary),fuel cell 0.50,832.3889581147175,1.1991197475842268,1.3856644753525058,True,2488.5916008039194,497.7183201607839,334.67063795393364,2.102665656856636,622.1479002009798,210.24105791373768,2.281915952232669
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,20.0,0.9533185628548845,54.38055927219059,3873.074322362547,5.866818815716237,3.2820345927795045,2.5847842229367326,excl. upgrading (submitted boundary),H2 engine 0.40,832.3889581147175,1.4988996844802835,1.085884538456449,True,2488.5916008039194,497.7183201607839,334.67063795393364,1.982136015336612,622.1479002009798,210.24105791373768,2.206198884556653
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,20.0,0.9533185628548845,54.38055927219059,3873.074322362547,5.866818815716237,3.2820345927795045,2.5847842229367326,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,1907.0968345429703,2.747318369089513,-0.1625341461527805,False,2488.5916008039194,497.7183201607839,1409.3785143821865,0.5544670353513497,622.1479002009798,1284.9489343419905,0.7337173307273825
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,20.0,0.9533185628548845,54.38055927219059,3873.074322362547,5.866818815716237,3.2820345927795045,2.5847842229367326,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,1907.0968345429703,3.4341479613618913,-0.8493637384251587,False,2488.5916008039194,497.7183201607839,1409.3785143821865,0.04688773845500416,622.1479002009798,1284.9489343419905,0.270950607675045
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,30.0,0.9533185628548845,54.38055927219059,3918.5570986045964,5.866818815716237,3.3205765965154406,2.5462422192007965,excl. upgrading (submitted boundary),fuel cell 0.50,832.3889581147175,1.1991197475842268,1.3471224716165697,True,2488.5916008039194,497.7183201607839,334.67063795393364,2.0641236531207,622.1479002009798,210.24105791373768,2.2433739484967328
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,30.0,0.9533185628548845,54.38055927219059,3918.5570986045964,5.866818815716237,3.3205765965154406,2.5462422192007965,excl. upgrading (submitted boundary),H2 engine 0.40,832.3889581147175,1.4988996844802835,1.047342534720513,True,2488.5916008039194,497.7183201607839,334.67063795393364,1.943594011600676,622.1479002009798,210.24105791373768,2.167656880820717
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,30.0,0.9533185628548845,54.38055927219059,3918.5570986045964,5.866818815716237,3.3205765965154406,2.5462422192007965,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,1907.0968345429703,2.747318369089513,-0.20107614988871658,False,2488.5916008039194,497.7183201607839,1409.3785143821865,0.5159250316154136,622.1479002009798,1284.9489343419905,0.6951753269914465
